año,posición,título,artista,fecha_pico,género
1953,16,"""Here in My Heart"" ‡",Al Martino,N/A,Pop
1953,16,You Belong to Me,Jo Stafford,N/A,Pop
1953,6,"""Somewhere Along the Way"" ‡",Nat King Cole,N/A,Jazz
1953,11,"""Isle of Innisfree"" ‡",Bing Crosby,N/A,Pop
1953,10,"""Feet Up (Pat Him on the Po-Po)"" ‡",Guy Mitchell,N/A,"Rock, Pop"
1953,9,"""Half as Much"" ‡",Rosemary Clooney,N/A,Pop
1953,6,"""Forget Me Not"" ‡",Vera Lynn,N/A,Pop
1953,7,"""Sugar Bush"" ‡",Doris Day & Frankie Laine,N/A,Pop
1953,22,"""Because You're Mine"" ‡",Mario Lanza,N/A,"Pop, Stage & Screen"
1953,14,Comes A-Long A-Love,Kay Starr,N/A,Jazz
